Text	No. words in text	No. hits in text	Freq. per hundred	language
0001a	1759	18	1.023309	B
0001b	1604	2	0.124688	B
0001c	1857	2	0.107701	B
0001d	2541	9	0.354191	B
0001e	2662	19	0.713749	B
0002a	2167	10	0.461467	B
0003a	1864	6	0.321888	B
0003b	1627	3	0.184388	B
0003c	1836	3	0.163399	B
0003d	3112	5	0.160668	B
0003e	3153	5	0.158579	B
0003f	2872	6	0.208914	B
0003g	2978	4	0.134318	B
0003h	2998	4	0.133422	B
0003i	2397	3	0.125156	B
0003j	2650	9	0.339623	B
0003k	6637	7	0.105469	B
0003l	3063	2	0.065295	B
0003p	1817	1	0.055036	B
0004a	1719	8	0.465387	B
0004b	2363	6	0.253915	B
0004c	3716	18	0.484392	B
0004d	12354	45	0.364254	B
0005a	3453	15	0.434405	B
0005b	3170	4	0.126183	B
0005c	6438	18	0.27959	B
0006c	3001	10	0.333222	B
0007a	1498	5	0.333778	B
0007b	2205	5	0.226757	B
0008a	1868	2	0.107066	B
0008b	1901	2	0.105208	B
0009b	1537	3	0.195185	B
0009c	3760	8	0.212766	B
0009d	3363	18	0.535236	B
0009e	3320	20	0.60241	B
0010a	2938	4	0.136147	B
0010b	3193	11	0.344504	B
0010c	5481	25	0.456121	B
0010d	3407	4	0.117405	B
0010e	2523	3	0.118906	B
0011a	1787	15	0.839396	B
0011b	1628	5	0.307125	B
0011c	1827	2	0.109469	B
0011e	2597	4	0.154024	B
0011f	1868	3	0.1606	B
0011g	1032	3	0.290698	B
0012a	2296	1	0.043554	B
0012b	1553	4	0.257566	B
0012c	2014	1	0.049652	B
0012d	5416	6	0.110783	B
0013a	2457	9	0.3663	B
0013b	5804	16	0.275672	B
0013c	2116	5	0.236295	B
0013d	2769	8	0.288913	B
0014a	4902	20	0.407997	B
0014b	1022	4	0.391389	B
0014c	2527	12	0.474871	B
0014d	3043	12	0.394348	B
0014e	3138	11	0.350542	B
0015a	2176	4	0.183824	B
0015b	2849	3	0.1053	B
0016a	1910	6	0.314136	B
0016b	2586	8	0.309358	B
0016c	6862	15	0.218595	B
0017a	1644	3	0.182482	B
0017b	1668	7	0.419664	B
0018a	2232	4	0.179211	B
0018c	6052	10	0.165235	B
0019a	2534	8	0.315706	B
0019b	2583	8	0.309717	B
0019c	2145	10	0.4662	B
0019d	2946	15	0.509165	B
0019e	3196	7	0.219024	B
0019f	2468	10	0.405186	B
0019g	2790	3	0.107527	B
0019h	2700	9	0.333333	B
0019i	2407	11	0.457	B
0019j	3161	4	0.126542	B
0020a	1778	5	0.281215	B
0020b	1563	15	0.959693	B
0020c	1246	7	0.561798	B
0020d	2171	9	0.414556	B
0020e	2624	25	0.952744	B
0020f	2998	10	0.333556	B
0020g	3267	26	0.795837	B
0020h	2999	16	0.533511	B
0021a	2683	1	0.037272	B
0021b	1676	6	0.357995	B
0022a	2277	12	0.527009	B
0022b	4849	25	0.51557	B
0022c	2675	12	0.448598	B
0023a	2069	15	0.724988	B
0023b	2153	5	0.232234	B
0023c	2132	9	0.422139	B
0023d	4113	6	0.145879	B
0023e	4186	11	0.262781	B
0024a	3087	5	0.16197	B
0024g	5119	6	0.11721	B
0024i	3860	12	0.310881	B
0025a	2875	6	0.208696	B
0025b	937	2	0.213447	B
0026a	2837	24	0.845964	B
0026b	1666	8	0.480192	B
0027a	5311	38	0.715496	B
0027b	2160	2	0.092593	B
0027c	2997	18	0.600601	B
0028b	2363	2	0.084638	B
0028c	1304	2	0.153374	B
0029a	1832	1	0.054585	B
0029b	6014	4	0.066511	B
0029c	2540	1	0.03937	B
0029e	2309	19	0.822867	B
0029f	2491	10	0.401445	B
0029g	2474	10	0.404204	B
0029h	2387	2	0.083787	B
0029i	6336	16	0.252525	B
0029j	2631	3	0.114025	B
0029l	3102	1	0.032237	B
0029m	2923	1	0.034211	B
0029n	6305	23	0.36479	B
0029o	2885	4	0.138648	B
0029p	2561	2	0.078094	B
0030a	2843	3	0.105522	B
0030b	2843	5	0.175871	B
0031a	1713	8	0.467017	B
0031b	1461	10	0.684463	B
0031c	1870	6	0.320856	B
0032a	3192	13	0.407268	B
0032c	1229	2	0.162734	B
0033a	2653	9	0.339239	B
0033b	1725	3	0.173913	B
0033c	3936	19	0.482724	B
0033d	2637	2	0.075844	B
0033e	2132	3	0.140713	B
0034a	2648	16	0.60423	B
0034b	2012	11	0.54672	B
0034c	3641	12	0.32958	B
0034d	2044	24	1.174168	B
0034e	3249	3	0.092336	B
0035a	2846	16	0.562193	B
0035b	4192	11	0.262405	B
0035c	3340	15	0.449102	B
0036a	1273	2	0.157109	B
0036b	3384	7	0.206856	B
0036c	2453	1	0.040766	B
0037b	1757	2	0.11383	B
0038a	2498	8	0.320256	B
0038b	2428	6	0.247117	B
0038c	2611	1	0.0383	B
0039a	2464	3	0.121753	B
0039b	3310	2	0.060423	B
0039d	2263	9	0.397702	B
0039e	2186	2	0.091491	B
0039f	6830	3	0.043924	B
0040a	3032	2	0.065963	B
0040b	6773	13	0.191939	B
0040c	12265	46	0.375051	B
0040d	1610	3	0.186335	B
0040e	4651	7	0.150505	B
0041a	1314	1	0.076104	B
0042a	2238	8	0.357462	B
0042b	1408	5	0.355114	B
0042c	3117	12	0.384986	B
0042d	2968	20	0.673854	B
0042e	5018	12	0.239139	B
0043a	1887	3	0.158983	B
0043b	2130	5	0.234742	B
0043c	1859	4	0.215169	B
0043d	1624	12	0.738916	B
0044a	3037	7	0.230491	B
0044b	5029	12	0.238616	B
0045a	3259	17	0.521632	B
0045b	2000	1	0.05	B
0046a	2336	6	0.256849	B
0047a	14147	57	0.402912	B
0047b	2690	13	0.483271	B
0047c	2517	12	0.476758	B
0047d	2919	10	0.342583	B
0047e	3123	10	0.320205	B
0047f	3794	11	0.289931	B
0047g	3068	12	0.391134	B
0048a	1975	19	0.962025	B
0049a	14781	7	0.047358	B
0049b	12284	15	0.12211	B
0049c	12801	11	0.085931	B
0050a	2169	2	0.092208	B
0050b	2150	8	0.372093	B
0050c	1954	1	0.051177	B
0051a	3756	16	0.425985	B
0051b	3466	13	0.375072	B
0051c	4957	7	0.141214	B
0051d	1008	8	0.793651	B
0052a	3568	14	0.392377	B
0053a	2164	3	0.138632	B
0053b	2546	4	0.157109	B
0053c	2751	2	0.072701	B
0053d	2922	6	0.205339	B
0054a	826	1	0.121065	B
0055a	1610	1	0.062112	B
0055b	2346	5	0.213129	B
0055c	2307	11	0.47681	B
0055d	1500	3	0.2	B
0055e	2563	5	0.195084	B
0055f	2383	10	0.419639	B
0056a	2405	5	0.2079	B
0056b	603	6	0.995025	B
0057a	1449	8	0.552105	B
0057b	1263	4	0.316706	B
0057c	1950	4	0.205128	B
0057d	680	5	0.735294	B
0057e	3701	24	0.648473	B
0057f	5038	19	0.377134	B
0058b	573	3	0.52356	B
0058c	612	2	0.326797	B
0058d	1646	11	0.668287	B
0058e	1976	6	0.303644	B
0058f	2377	5	0.210349	B
0058g	2657	2	0.075273	B
0059a	1717	2	0.116482	B
0061a	4072	8	0.196464	B
0061b	1279	2	0.156372	B
0061c	3741	8	0.213847	B
0061d	1396	5	0.358166	B
0061e	1860	7	0.376344	B
0061f	5499	8	0.145481	B
0061g	1702	10	0.587544	B
0061h	4738	12	0.253271	B
0062a	3336	4	0.119904	B
0062b	3217	8	0.248679	B
0062c	3340	10	0.299401	B
0063a	1530	7	0.457516	B
0063b	2380	5	0.210084	B
0063c	2156	3	0.139147	B
0063d	2123	2	0.094206	B
0064a	1932	3	0.15528	B
0064b	1836	3	0.163399	B
0064c	1596	2	0.125313	B
0064d	4821	14	0.290396	B
0064e	3700	7	0.189189	B
0064f	4480	13	0.290179	B
0065a	1608	14	0.870647	B
0065b	1834	12	0.654308	B
0065c	4561	14	0.30695	B
0065d	828	7	0.845411	B
0065e	1591	2	0.125707	B
0065f	1734	3	0.17301	B
0066a	1488	3	0.201613	B
0066b	1907	1	0.052438	B
0066c	3800	15	0.394737	B
0067b	3448	3	0.087007	B
0068a	1682	9	0.535077	B
0069a	4045	11	0.271941	B
0069b	4443	8	0.180059	B
0069c	1894	5	0.263992	B
